year,month,count
2001,1,38105
2001,2,33780
2001,3,40555
2001,4,40084
2001,5,41826
2001,6,41727
2001,7,44694
2001,8,44032
2001,9,41505
2001,10,43028
2001,11,39597
2001,12,36846
2002,1,38406
2002,2,33909
2002,3,38585
2002,4,40035
2002,5,42913
2002,6,42835
2002,7,46012
2002,8,44210
2002,9,42389
2002,10,43144
2002,11,37152
2002,12,37172
2003,1,36715
2003,2,32509
2003,3,38651
2003,4,39790
2003,5,41195
2003,6,40815
2003,7,43416
2003,8,44269
2003,9,41424
2003,10,43328
2003,11,38056
2003,12,35791
2004,1,35106
2004,2,34066
2004,3,39855
2004,4,38269
2004,5,40780
2004,6,41134
2004,7,43239
2004,8,43044
2004,9,41213
2004,10,41524
2004,11,36841
2004,12,34323
2005,1,33863
2005,2,31988
2005,3,36905
2005,4,38871
2005,5,40468
2005,6,40052
2005,7,41807
2005,8,41544
2005,9,39624
2005,10,39961
2005,11,35979
2005,12,32669
2006,1,36756
2006,2,31299
2006,3,36984
2006,4,36476
2006,5,39617
2006,6,38814
2006,7,41550
2006,8,40497
2006,9,37773
2006,10,38661
2006,11,35568
2006,12,34140
2007,1,34105
2007,2,27136
2007,3,36351
2007,4,35634
2007,5,40088
2007,6,38996
2007,7,40990
2007,8,39849
2007,9,38265
2007,10,39592
2007,11,34423
2007,12,31609
2008,1,33370
2008,2,29049
2008,3,33978
2008,4,35593
2008,5,38064
2008,6,37698
2008,7,40492
2008,8,40540
2008,9,37446
2008,10,37889
2008,11,33561
2008,12,29414
2009,1,30255
2009,2,28235
2009,3,33689
2009,4,32569
2009,5,35246
2009,6,34274
2009,7,35676
2009,8,35828
2009,9,33871
2009,10,33536
2009,11,31395
2009,12,28188
2010,1,29231
2010,2,24947
2010,3,32337
2010,4,31674
2010,5,33406
2010,6,32718
2010,7,33513
2010,8,34153
2010,9,31890
2010,10,32393
2010,11,28887
2010,12,25243
2011,1,27209
2011,2,22235
2011,3,28698
2011,4,29104
2011,5,31589
2011,6,32314
2011,7,33256
2011,8,32589
2011,9,29936
2011,10,30275
2011,11,27641
2011,12,27023
2012,1,26295
2012,2,23877
2012,3,28566
2012,4,27184
2012,5,30102
2012,6,31084
2012,7,31980
2012,8,30043
2012,9,27760
2012,10,27973
2012,11,26034
2012,12,25222
2013,1,25492
2013,2,21402
2013,3,24967
2013,4,25528
2013,5,27996
2013,6,27379
2013,7,28626
2013,8,28651
2013,9,26336
2013,10,25473
2013,11,23560
2013,12,21856
2014,1,20024
2014,2,18026
2014,3,22190
2014,4,22916
2014,5,24861
2014,6,25438
2014,7,26558
2014,8,25880
2014,9,23890
2014,10,23990
2014,11,20766
2014,12,20978
2015,1,20912
2015,2,16379
2015,3,21664
2015,4,21712
2015,5,23689
2015,6,23170
2015,7,24214
2015,8,24798
2015,9,23101
2015,10,23073
2015,11,20573
2015,12,21133
2016,1,20691
2016,2,18726
2016,3,22032
2016,4,21142
2016,5,23520
2016,6,24048
2016,7,24840
2016,8,24891
2016,9,23663
2016,10,23731
2016,11,21727
2016,12,20366
2017,1,22092
2017,2,19283
2017,3,20541
2017,4,21674
2017,5,23364
2017,6,23840
2017,7,24847
2017,8,24707
2017,9,22823
2017,10,22897
2017,11,21469
2017,12,21077
2018,1,20442
2018,2,17323
2018,3,21205
2018,4,21121
2018,5,24701
2018,6,24205
2018,7,25239
2018,8,25388
2018,9,23049
2018,10,22804
2018,11,20643
2018,12,21958
2019,1,19603
2019,2,18358
2019,3,20372
2019,4,20956
2019,5,23591
2019,6,23533
2019,7,24761
2019,8,24217
2019,9,22274
2019,10,21506
2019,11,19768
2019,12,20578
2020,1,19581
2020,2,17900
2020,3,16444
2020,4,12622
2020,5,17163
2020,6,17080
2020,7,10162